Tube,Volume,Intensity
Tube01,0.339751089,0.067317393
Tube01,0.213349109,0.06293415
Tube01,0.210571726,0.06974167
Tube01,0.333212791,0.061511325
Tube01,0.583636052,0.222364799
Tube01,0.024783089,0.060143136
Tube01,0.412160388,0.067747909
Tube01,1.167562665,0.163349833
Tube01,0.381478915,0.066396193
Tube01,0.706909229,0.062597631
Tube01,0.236703199,0.066677366
Tube01,0.450053912,0.211547748
Tube01,1.627438917,0.184200716
Tube01,1.452222371,0.063247671
Tube01,1.256128126,0.208549885
Tube01,1.183821599,0.176296299
Tube01,0.471741549,0.168310253
Tube01,0.720890406,0.201353532
Tube01,0.48595365,0.062405943
Tube01,0.397369137,0.061201334
Tube01,0.410605461,0.061532798
Tube01,0.623739516,0.261660529
Tube01,0.582206924,0.061255363
Tube01,0.756946383,0.198148383
Tube01,0.274326272,0.056911048
Tube01,0.878497116,0.067337538
Tube01,0.744219653,0.062934431
Tube01,1.067466071,0.066574443
Tube01,0.25710249,0.07997596
Tube01,0.33625785,0.060876532
Tube01,0.365457148,0.069243327
Tube01,0.237105811,0.117126914
Tube01,0.430866415,0.060779905
Tube01,0.029467496,0.058282782
Tube01,0.300291691,0.062773846
Tube01,0.521412138,0.06542137
Tube01,0.537744653,0.061450206
Tube01,0.743605701,0.186859621
Tube01,0.457533248,0.195930218
Tube01,0.420234514,0.067071065
Tube01,2.864107635,0.169276692
Tube01,0.018872737,0.056661921
Tube01,0.433581361,0.19685907
Tube01,0.865460813,0.060511669
Tube01,0.679541744,0.196211832
Tube01,0.711853009,0.059623743
Tube01,0.322455817,0.057231097
Tube01,1.839875932,0.143780424
Tube01,1.039038641,0.061104853
Tube01,0.096596195,0.058258179
Tube01,0.321849752,0.191272379
Tube01,0.721271898,0.065150073
Tube01,0.705986136,0.19905275
Tube01,0.44499389,0.064715683
Tube01,0.094156925,0.058984012
Tube01,0.566326205,0.062401383
Tube01,0.409908539,0.062601808
Tube01,0.240845529,0.070649408
Tube01,0.54315376,0.061880129
Tube01,0.145158276,0.056473176
Tube01,0.537182271,0.2161114
Tube01,0.537568455,0.062122536
Tube01,0.281352706,0.073173136
Tube01,0.082558092,0.062332567
Tube01,0.404472761,0.20488989
Tube01,2.04336577,0.228182477
Tube01,0.53823229,0.154645213
Tube01,0.222260789,0.06642456
Tube01,0.662691345,0.062197432
Tube01,0.809902727,0.06171676
Tube01,2.266018362,0.217545801
Tube01,0.512999547,0.060583389
Tube01,0.049895828,0.06485098
Tube01,0.549169495,0.064246609
Tube01,0.799922946,0.06267417
Tube01,0.352443458,0.210510074
Tube01,0.317535301,0.059799286
Tube01,0.660632481,0.062443504
Tube01,0.016004222,0.054358558
Tube01,0.271462639,0.060594054
Tube01,0.399212019,0.058947377
Tube01,0.525685255,0.059860304
Tube01,0.573640815,0.258372944
Tube01,0.367731107,0.155411665
Tube01,0.617994004,0.061203516
Tube01,0.253537954,0.061590363
Tube01,0.746888126,0.060685452
Tube01,0.694434247,0.061559977
Tube01,0.050041398,0.058877746
Tube01,0.604413551,0.198816735
Tube01,0.241367458,0.057387289
Tube01,0.588080474,0.060836061
Tube01,0.554232138,0.062912922
Tube01,0.740786311,0.060972037
Tube01,0.498796079,0.069542952
Tube01,1.265697117,0.218895081
Tube01,0.711869991,0.203866323
Tube01,0.603174201,0.189166132
Tube01,0.581616855,0.061592427
Tube01,0.783993758,0.20909242
Tube01,1.231516629,0.160670794
